"","x"
"1",-0.113596241537868
"2",-0.103836251659634
"3",-0.0474247233632177
"4",-0.0597250973845054
"5",-0.0568301966047635
"6",-0.0235513054535483
"7",-0.00427051345695955
"8",0.0200997213057978
"9",0.0153632972052509
"10",0.0206297690393509
"11",0.0343520679546228
"12",-0.0219456479882756
"13",-0.0251949793704564
"14",-0.0239126907731615
"15",0.000163886979184796
"16",0.0258863842887128
"17",0.0445239065676466
"18",0.0272099257739234
"19",0.113049945279178
"20",0.0696450663356607
"21",0.0721967824759795
"22",0.189405556791555
"23",0.123024579949869
"24",0.132916894832964
"25",0.231006788116864
"26",0.233464259293691
"27",0.172499173781087
"28",0.0552674259933294
"29",0.0442458939630309
"30",0.100211314543819
"31",-0.0838084609623801
"32",-0.131783462342674
"33",-0.101168791095077
"34",0.23483018214114
"35",0.220555511144887
"36",0.207559010486613
"37",0.153746638533842
"38",0.101596071570392
"39",0.0861189315571289
"40",0.0769780027284183
"41",0.0280115273257291
"42",-0.0089711854498623
"43",-0.00816479403655646
"44",0.00581922231157503
"45",0.0228149645788359
"46",-0.11778838267224
"47",-0.0864398436722786
"48",-0.0956131159511086
"49",-0.168055015900929
"50",-0.174735018929375
"51",-0.5572638828503
"52",-0.497604934708463
"53",-0.528408810018576
"54",-0.515773383636389
"55",-0.49726614705624
"56",-0.461112435584752
"57",-0.440001555359036
"58",-0.390266280451296
"59",-0.0522468951833041
"60",-0.12361861969741
"61",-0.143595501326733
"62",-0.0981518967700172
"63",-0.0888564838009502
"64",-0.156154818464303
"65",-0.174704967889841
"66",-0.206268703546013
"67",-0.210718911612683
"68",-0.304080997086554
"69",-0.0797896561814955
"70",-0.128485860026788
"71",-0.16090518675655
"72",-0.169489885610296
"73",-0.192608687195572
"74",-0.343033505297575
"75",-0.343259697205147
"76",-0.268797121291163
"77",-0.119110187409258
"78",-0.226083581311049
"79",-0.247405913203241
"80",-0.17071504171187
"81",-0.162907130286888
"82",-0.0434588178194207
"83",-0.02958740410945
"84",-0.0542162728142822
"85",-0.0807130263763231
"86",-0.0604243329315087
"87",-0.0377416704185311
"88",-0.000524603162146022
"89",-0.00290513429494811
"90",0.0616040401847163
"91",0.000169517533070003
"92",0.00539087196439163
"93",0.0124544611028769
"94",0.0640647015915525
"95",0.0891414322192988
"96",0.0411779919787261
"97",0.00515474547607569
"98",0.140683223062887
"99",0.104237091422029
"100",0.100558591166409
"101",-0.182879932633166
"102",-0.160180556206787
"103",-0.233777867155992
"104",-0.147095621800697
"105",-0.166009232105923
"106",-0.16185154179447
"107",-0.104633987550585
"108",-0.0484366006016826
"109",0.0826967879927155
"110",0.0692694556147857
"111",0.0713407619289516
"112",0.103665493842568
"113",0.0934565284779057
"114",0.0841049706057609
"115",0.116996504517388
"116",0.152704541277945
"117",0.0733993730318193
"118",-0.146778431266419
"119",-0.221835826014411
"120",-0.256156910970147
"121",-0.227488574695846
"122",-0.383703598883234
"123",-0.423291092322515
"124",-0.391406250506915
"125",-0.424638650116742
"126",-0.391687634577109
"127",-0.147085746528415
"128",-0.266493224140985
"129",-0.213284737098289
"130",-0.222954791817712
"131",-0.194768843530108
"132",-0.141991591730334
"133",-0.506725568966431
"134",-0.5055582753839
"135",-0.490651022348796
"136",-0.427139155486837
"137",-0.400922398808536
"138",-0.302856851457215
"139",-0.216175934573885
"140",-0.194755896925241
"141",-0.0967560106860484
"142",-0.138437823376051
"143",0.0694083455438759
"144",-0.0497119503284636
"145",-0.0528137777666599
"146",-0.0269792767476188
"147",-0.0051107135975348
"148",-0.0128642552764491
"149",-0.0196294803716651
"150",0.0470600985756379
"151",-0.0109461710586582
"152",-0.0801543438905806
"153",-0.0880010569377712
"154",-0.122018403135247
"155",-0.0338013717990343
"156",-0.0305818545180366
"157",0.132703992367947
"158",0.0901520907454508
"159",0.0989305408921797
"160",0.0969278062733308
"161",0.164650061715752
"162",0.109199944359657
"163",-0.208675418146725
"164",-0.185878182303263
"165",-0.189023980545495
"166",-0.0736216694127119
"167",-0.0724909262344091
"168",-0.108321310926826
"169",0.0334627142026262
"170",0.0347768528947648
"171",0.0668175371578817
"172",0.0804297137874108
"173",-0.110184888355248
"174",-0.10924841374217
"175",-0.0549780439367498
"176",0.187432706206312
"177",0.176328564678725
"178",0.182923546810471
"179",0.0740049533911116
"180",0.0857319478778869
"181",0.0871781095999187
"182",-0.0441122901970992
"183",0.0222761986231906
"184",-0.0103539987521372
"185",0.00690005552409152
"186",-0.149360053648384
"187",-0.142926984402955
"188",-0.149493585701696
"189",-0.0753048361622363
"190",-0.0678470697292962
"191",0.0727140546572618
"192",-0.19790374162422
"193",-0.193808051705733
"194",-0.174256766495045
"195",-0.223462491210706
"196",-0.218773142687874
"197",-0.186788505613403
"198",-0.0936782715011404
"199",-0.208505412235136
"200",-0.127290876570015
"201",-0.110530034846615
"202",-0.115414509364416
"203",0.0270933347176631
"204",0.0331089420936963
"205",0.0336031369552704
"206",0.0437973329692855
"207",0.049110684616927
"208",0.166242627904663
"209",0.152128810627946
"210",0.134887656243569
"211",0.06110230301047
"212",0.0550565742036917
"213",0.115091921442125
"214",0.136345216593276
"215",0.0472872409360169
"216",0.061469001392677
"217",0.096807115354693
"218",0.131001259404326
"219",0.191783455041997
"220",0.19143402106807
"221",0.171289373303438
"222",0.21198557998736
"223",0.0742971494081165
"224",0.0753682596692234
"225",0.127312298281485
"226",0.0896240663443372
"227",-0.00121538555891065
"228",0.0234048503147994
"229",-0.00593564141719982
"230",-0.0507080731719866
"231",-0.152782423902259
"232",-0.195872642533591
"233",-0.114406084439911
"234",-0.104465014012694
"235",-0.0973628832913418
"236",-0.112980626617445
"237",-0.0185220601343859
"238",0.0337262000631458
"239",0.0312265514094636
"240",0.0610215105422374
"241",0.111219183188073
"242",0.120969120922642
"243",0.132491244176298
"244",0.152166294104999
"245",0.183216269363591
"246",0.194293865133198
"247",0.219912823313013
"248",0.193949920181106
"249",0.226196720168565
"250",0.240862187078161
"251",0.0144371507739788
"252",-0.0744999671433211
"253",0.104871876581046
"254",0.0675759598898942
"255",-0.0241761531241819
"256",0.00947172521229362
"257",-0.0675265256019958
"258",-0.062864577792574
"259",0.0763442365143146
"260",-0.140843749167234
"261",-0.206118776860331
"262",-0.13045482392644
"263",-0.156576174994668
"264",-0.113658756915242
"265",-0.0937999790713104
"266",-0.135364465717557
"267",-0.109598593162531
"268",-0.095324451499853
"269",-0.0538770931778899
"270",0.00997926266493108
"271",0.00583390882910133
"272",-0.186967799452713
"273",-0.332283173017053
"274",-0.459445185433352
"275",-0.36406439158292
"276",-0.374748485812732
"277",-0.359977470280761
"278",-0.403718713326445
"279",-0.294412304485319
"280",-0.247240024600575
"281",-0.244771379117196
"282",-0.150342329372408
"283",-0.154132070972201
"284",-0.0964758156241356
"285",-0.0740588723647163
"286",-0.184490871793801
"287",-0.130967992711029
"288",-0.0528208426839562
"289",-0.0466636428982046
"290",-0.128350441775254
"291",-0.0410025552700157
"292",-0.0771047107456373
"293",-0.179484777900086
"294",-0.205558004207722
"295",-0.208214586890662
"296",-0.0534629961468647
"297",-0.21219791794751
"298",-0.212976412168282
"299",-0.237448570986654
"300",-0.199979596699615
"301",-0.241094489507532
"302",-0.329405879726948
"303",-0.389444591838931
"304",-0.268172054384107
"305",-0.257690116230648
"306",-0.292864204498872
"307",-0.269531156942677
"308",-0.0282062601754112
"309",0.0117526291027946
"310",0.0133538368084509
"311",0.0751423102937451
"312",0.0703507598713938
"313",0.0326109244892233
"314",-0.012325541932415
"315",-0.0448287685616751
"316",-0.000428240411994693
"317",0.0492912779407167
"318",0.225564835245844
"319",0.34693840393468
"320",0.317619190546623
"321",0.185289194633067
"322",0.143162514278647
"323",0.0459826513773353
"324",0.0799814784786934
"325",0.135840804699171
"326",0.140835945920374
"327",0.132145453896344
"328",0.0652966145805843
"329",-0.131039928297165
"330",-0.127534322586856
"331",-0.100953812413473
"332",-0.0765578675661433
"333",-0.0445090848586385
"334",-0.229080758223508
"335",-0.211104628309791
"336",-0.328915707689608
"337",-0.316989438059471
"338",-0.291441033741826
"339",-0.318288686248386
"340",-0.319875691192143
"341",-0.279768906064873
"342",-0.265205566358805
"343",-0.163406166046584
"344",-0.143593325641621
"345",-0.117837539440276
"346",-0.110189379655189
"347",-0.252362314315509
"348",-0.293117836857417
"349",-0.317008368949264
"350",-0.261582456005466
"351",-0.173291974993288
"352",-0.211955487674332
"353",-0.125288219853663
"354",-0.13672246678506
"355",-0.0495597401121424
"356",0.0216326264372167
"357",0.0370098225653307
"358",-0.0432709155073208
"359",0.0524120277872904
"360",0.0731546620992102
"361",0.0123758916661451
"362",0.0123861463101771
"363",0.0308040426831796
"364",0.0331899450577534
"365",0.251222335136955
"366",0.231020026361351
"367",0.229702972440365
"368",0.19876952384128
"369",0.209514200496468
"370",0.236456852510343
"371",0.19444054872379
"372",0.167433208447023
"373",0.186653126824388
"374",0.189473213410097
"375",0.18663757874599
"376",0.0435921003830445
"377",0.0427845814895057
"378",0.0269796556289428
"379",0.161755823771577
"380",0.169172208073321
"381",0.0539720552045153
"382",0.0333680800266814
"383",0.231108822984571
"384",0.179232614095293
"385",0.184536493520874
"386",0.175423291107468
"387",0.192456293223154
"388",0.134523759936238
"389",0.136694880599467
"390",-0.00243104412221604
"391",0.0188897172388766
"392",0.0253570605184351
"393",-0.25499306331421
"394",-0.646762788832891
"395",-0.693263729633261
"396",-0.636878197963422
"397",-0.596251352699084
"398",-0.662913829906452
"399",-0.622907136080288
"400",-0.63322160115474
"401",-0.640615733407231
"402",-0.588622273717095
"403",-0.571740213395394
"404",-0.565918448618759
"405",-0.562013955071721
"406",-0.502088905210385
"407",-0.49703357107828
"408",-0.450700416136555
"409",-0.463565869402721
"410",-0.352073641078871
"411",-0.29815956397952
"412",-0.274186742537645
"413",-0.525354858762132
"414",-0.535118142906195
"415",-0.5974941590679
"416",-0.480902741643658
"417",-0.47961346711753
"418",-0.48595115134639
"419",-0.468830567855793
"420",-0.315717943624896
"421",-0.311435848011564
"422",-0.324181792596471
"423",-0.282185971391405
"424",-0.294927271588603
"425",-0.271146525160956
"426",-0.235993445819208
"427",-0.210762072481533
"428",-0.138666839807111
"429",-0.371654863451612
"430",-0.273844467046779
"431",-0.26821171935593
"432",-0.242333042160004
"433",-0.189678546654135
"434",-0.23288174118438
"435",-0.195735928561004
"436",-0.175265055043841
"437",-0.29038974181638
"438",-0.193261097841552
"439",-0.168460135365948
"440",-0.163294159654448
"441",-0.193853237090597
"442",-0.158589435178089
"443",-0.141678032825715
"444",-0.113896731992382
"445",-0.0895191263173877
"446",-0.0628617848021034
"447",0.0686477614111138
"448",0.0771411691418431
"449",0.101598902860971
"450",0.161805276979271
"451",0.21039779390955
"452",0.275189668459217
"453",0.248134562963094
"454",0.0925621892576429
"455",0.130904218899232
"456",0.116885072733161
"457",0.0549753758636349
"458",0.0274856425726706
"459",0.044179615000342
"460",0.0618142703084316
"461",0.0769628391050512
"462",0.108360121408078
"463",0.115245918209078
"464",0.208020827686091
"465",0.0306665998395321
"466",0.0888570168935695
"467",0.157045941815966
"468",0.120823825049422
"469",-0.174799504394255
"470",-0.0378401422696975
"471",-0.143706525074505
"472",-0.121433698294975
"473",-0.1077684808786
"474",-0.0912776851747161
"475",-0.0409722870124167
"476",-0.0134513053137035
"477",0.0187903393184612
"478",-0.0304831404981366
"479",-0.0537945828349376
"480",-0.0319782410524148
"481",-0.0782470820366912
"482",-0.0394583074217166
"483",-0.103030702056401
"484",-0.0746849822429249
"485",-0.0613203836995816
"486",-0.0469705787129199
"487",0.0415192777572445
"488",0.0666232312878007
"489",0.0755123457459183
"490",-0.030121943346448
"491",0.0664678044628757
"492",0.105026364249194
"493",0.100277553550551
"494",0.0559013008426372
"495",0.0682769665261615
"496",0.0814445180365189
"497",0.0769299250538583
"498",0.0988874554511432
"499",0.0512171360519477
"500",0.092912137682325
"501",0.0813374451906175
"502",0.134255309901972
"503",0.153023109017565
"504",0.161753944034496
"505",-0.14588964592782
"506",-0.0128260060578814
"507",-0.0200953701409236
"508",-0.00405255311611619
"509",0.0746616908960758
"510",0.0777879891239999
"511",0.0868325597913398
"512",0.120231752789855
"513",0.134109880324129
"514",-0.0686892026436781
"515",-0.0363739583238923
"516",-0.1071477219884
"517",-0.203314832679386
"518",-0.175351204065621
"519",-0.155485261668228
"520",-0.113691238730271
"521",-0.162779933956594
"522",-0.232005783303364
"523",-0.208155787653296
"524",-0.214029810575531
"525",-0.178176748119787
"526",-0.160483664433431
"527",-0.148903678044019
"528",-0.14665024052715
"529",-0.113978766502396
"530",-0.338895491734679
"531",-0.30724676506792
"532",-0.183754900920431
"533",-0.199832796981697
"534",-0.199304697169834
"535",-0.261943398606127
"536",-0.388664544979114
"537",-0.379594356731564
"538",-0.360060834287999
"539",-0.41653189482807
"540",-0.428252043585441
"541",-0.394884895581082
"542",-0.359815087154347
"543",-0.265812987948779
"544",-0.261387239173265
"545",-0.226672436884782
"546",-0.191313966022826
"547",-0.125701495036705
"548",-0.0996294803668289
"549",-0.106798003982237
"550",-0.0114764481388934
"551",-0.0369055324057555
"552",0.0164622961496872
"553",0.0198216106917499
"554",0.0044206611104187
"555",0.0949948859193544
"556",-0.21532136331658
"557",-0.206171749105823
"558",-0.255779005925629
"559",-0.019925299675104
"560",-0.0396020761604406
"561",-0.3191795586662
"562",-0.238797780190703
"563",-0.319453064110571
"564",-0.124463236276963
"565",-0.194581265073754
"566",-0.207799078945683
"567",-0.193696088127175
"568",-0.190732716345746
"569",-0.182152865310596
"570",-0.14923671816404
"571",-0.176690057254664
"572",-0.20207589110806
"573",-0.301796026098393
"574",-0.310453893308278
"575",-0.4030480281806
"576",-0.426874292588929
